image_name,category,num_detections,max_confidence,failure_reason_memo,bbox_info
image724.jpg,easy_success,1,0.9189,max_conf=0.919 >= 0.7,"[24, 89, 388, 594],conf=0.919"
image751.jpg,missed_detection,0,0.0000,사람 검출 없음 (헬멧 데이터셋이므로 사람 존재 가능성 높음),
image769.jpg,easy_success,1,0.8614,max_conf=0.861 >= 0.7,"[138, 163, 599, 359],conf=0.861"
image794.jpg,easy_success,2,0.7982,max_conf=0.798 >= 0.7,"[181, 160, 541, 445],conf=0.798;[566, 209, 639, 492],conf=0.356"
image858.jpeg,easy_success,4,0.8709,max_conf=0.871 >= 0.7,"[1, 160, 239, 528],conf=0.871;[0, 163, 72, 529],conf=0.553;[289, 135, 639, 525],conf=0.525;[431, 135, 639, 526],conf=0.516"
image861.jpg,easy_success,1,0.8472,max_conf=0.847 >= 0.7,"[233, 66, 429, 450],conf=0.847"
image887.jpg,easy_success,2,0.8868,max_conf=0.887 >= 0.7,"[260, 256, 416, 381],conf=0.887;[218, 256, 295, 382],conf=0.557"
image891.jpg,easy_success,1,0.9084,max_conf=0.908 >= 0.7,"[265, 64, 470, 490],conf=0.908"
image950.jpeg,easy_success,3,0.7998,max_conf=0.800 >= 0.7,"[328, 237, 459, 363],conf=0.800;[173, 217, 366, 529],conf=0.544;[174, 223, 363, 427],conf=0.484"
image975.jpg,easy_success,1,0.9141,max_conf=0.914 >= 0.7,"[249, 82, 417, 362],conf=0.914"
image1121.jpg,small_object,16,0.8084,최소 bbox 면적 비율 0.0146 < 0.02,"[316, 237, 425, 486],conf=0.808;[886, 264, 971, 485],conf=0.729;[416, 262, 484, 483],conf=0.690;[775, 272, 858, 487],conf=0.659;[636, 271, 796, 488],conf=0.626;[130, 250, 211, 481],conf=0.615;[566, 292, 676, 485],conf=0.603;[464, 258, 562, 470],conf=0.580;[186, 248, 307, 480],conf=0.511;[845, 272, 942, 486],conf=0.447;[507, 229, 577, 491],conf=0.397;[183, 249, 246, 471],conf=0.384;[292, 257, 349, 469],conf=0.356;[243, 249, 310, 479],conf=0.319;[840, 278, 918, 475],conf=0.301;[838, 278, 889, 478],conf=0.257"
image176.jpg,small_object,3,0.6662,최소 bbox 면적 비율 0.0148 < 0.02,"[130, 38, 345, 628],conf=0.666;[455, 158, 639, 635],conf=0.394;[0, 126, 28, 342],conf=0.289"
image212.jpg,small_object,3,0.4675,최소 bbox 면적 비율 0.0168 < 0.02,"[234, 294, 312, 489],conf=0.468;[316, 121, 630, 614],conf=0.408;[307, 313, 355, 456],conf=0.382"
image270.jpg,easy_success,1,0.9173,max_conf=0.917 >= 0.7,"[208, 0, 489, 581],conf=0.917"
image329.jpeg,easy_success,1,0.8448,max_conf=0.845 >= 0.7,"[71, 3, 591, 638],conf=0.845"
image573.jpg,hard_success,2,0.5098,"max_conf=0.510, 낮은 confidence로 검출","[8, 1, 638, 634],conf=0.510;[0, 4, 396, 632],conf=0.363"
